ra_hr,ra_min,ra_sec,dec,flux_den
5,17.52631579,30.89473684,-4.973684211,5.2
5,17.57894737,31.68421053,-3.921052632,5
5,17.63157895,32.47368421,-2.868421053,5.1
5,17.68421053,33.26315789,-1.815789474,5.2
5,17.73684211,34.05263158,-0.7631578947,5.2
5,17.78947368,34.84210526,0.2894736842,5.2
5,17.84210526,35.63157895,1.342105263,5.4
5,17.89473684,36.42105263,2.394736842,6.1
5,17.94736842,37.21052632,3.447368421,6.8
5,18,38,4.5,7
5,57,23,-15.5,4.2
5,57.05263158,23.78947368,-14.44736842,4.2
5,57.10526316,24.57894737,-13.39473684,4.1
5,57.15789474,25.36842105,-12.34210526,4.1
5,57.21052632,26.15789474,-11.28947368,4.1
5,57.26315789,26.94736842,-10.23684211,4
5,57.31578947,27.73684211,-9.184210526,4.5
5,57.36842105,28.52631579,-8.131578947,4.8
5,57.42105263,29.31578947,-7.078947368,5
5,57.47368421,30.10526316,-6.026315789,5
5,57.52631579,30.89473684,-4.973684211,5.2
5,57.57894737,31.68421053,-3.921052632,5.6
5,57.63157895,32.47368421,-2.868421053,5.6
5,57.68421053,33.26315789,-1.815789474,5.8
5,57.73684211,34.05263158,-0.7631578947,5.9
5,57.78947368,34.84210526,0.2894736842,5.9
5,57.84210526,35.63157895,1.342105263,5.9
5,57.89473684,36.42105263,2.394736842,6
5,57.94736842,37.21052632,3.447368421,6.2
5,58,38,4.5,6.4
4,57,23,-15.5,4.4
4,57.0526316,23.7894737,-14.447368,4.2
4,57.1052632,24.5789474,-13.394737,4.3
4,57.1578947,25.3684211,-12.342105,4.5
4,57.2105263,26.1578947,-11.289474,4.2
4,57.2631579,26.9473684,-10.236842,4.4
4,57.3157895,27.7368421,-9.1842105,4.5
4,57.3684211,28.5263158,-8.1315789,4.5
4,57.4210526,29.3157895,-7.0789474,4.5
4,57.4736842,30.1052632,-6.0263158,4.4
4,57.5263158,30.8947368,-4.9736842,4.6
4,57.5789474,31.6842105,-3.9210526,4.8
4,57.6315789,32.4736842,-2.8684211,4.9
4,57.6842105,33.2631579,-1.8157895,5
4,57.7368421,34.0526316,-0.7631579,5.1
4,57.7894737,34.8421053,0.28947368,5.2
4,57.8421053,35.6315789,1.34210526,5.5
4,57.8947368,36.4210526,2.39473684,5.9
4,57.9473684,37.2105263,3.44736842,6.1
4,58,38,4.5,6.3
5,5,23,-15.5,4.5
5,5.05263158,23.7894737,-14.447368,4.5
5,5.10526316,24.5789474,-13.394737,4.5
5,5.15789474,25.3684211,-12.342105,4.5
5,5.21052632,26.1578947,-11.289474,4.6
5,5.26315789,26.9473684,-10.236842,4.8
5,5.31578947,27.7368421,-9.1842105,4.6
5,5.36842105,28.5263158,-8.1315789,4.5
5,5.42105263,29.3157895,-7.0789474,4.5
5,5.47368421,30.1052632,-6.0263158,4.6
5,5.52631579,30.8947368,-4.9736842,4.9
5,5.57894737,31.6842105,-3.9210526,5.1
5,5.63157895,32.4736842,-2.8684211,5.2
5,5.68421053,33.2631579,-1.8157895,5.3
5,5.73684211,34.0526316,-0.7631579,5.4
5,5.78947368,34.8421053,0.28947368,5.5
5,5.84210526,35.6315789,1.34210526,5.8
5,5.89473684,36.4210526,2.39473684,5.9
5,5.94736842,37.2105263,3.44736842,6.1
5,6,38,4.5,6.5
5,9,23,-15.5,4.5
5,9.05263158,23.7894737,-14.447368,4.8
5,9.10526316,24.5789474,-13.394737,4.8
5,9.15789474,25.3684211,-12.342105,4.7
5,9.21052632,26.1578947,-11.289474,4.9
5,9.26315789,26.9473684,-10.236842,4.5
5,9.31578947,27.7368421,-9.1842105,4.6
5,9.36842105,28.5263158,-8.1315789,5
5,9.42105263,29.3157895,-7.0789474,5
5,9.47368421,30.1052632,-6.0263158,4.9
5,9.52631579,30.8947368,-4.9736842,4.8
5,9.57894737,31.6842105,-3.9210526,5
5,9.63157895,32.4736842,-2.8684211,5.1
5,9.68421053,33.2631579,-1.8157895,5.1
5,9.73684211,34.0526316,-0.7631579,5.1
5,9.78947368,34.8421053,0.28947368,5.2
5,9.84210526,35.6315789,1.34210526,5.3
5,9.89473684,36.4210526,2.39473684,5.5
5,9.94736842,37.2105263,3.44736842,5.8
5,10,38,4.5,6.1
5,13,23,-15.5,4.5
5,13.0526316,23.7894737,-14.447368,4.5
5,13.1052632,24.5789474,-13.394737,4.3
5,13.1578947,25.3684211,-12.342105,4.5
5,13.2105263,26.1578947,-11.289474,4.5
5,13.2631579,26.9473684,-10.236842,4.2
5,13.3157895,27.7368421,-9.1842105,4.9
5,13.3684211,28.5263158,-8.1315789,4.7
5,13.4210526,29.3157895,-7.0789474,5
5,13.4736842,30.1052632,-6.0263158,5.1
5,13.5263158,30.8947368,-4.9736842,5.1
5,13.5789474,31.6842105,-3.9210526,5.1
5,13.6315789,32.4736842,-2.8684211,5.2
5,13.6842105,33.2631579,-1.8157895,5.1
5,13.7368421,34.0526316,-0.7631579,5.1
5,13.7894737,34.8421053,0.28947368,5.8
5,13.8421053,35.6315789,1.34210526,5.8
5,13.8947368,36.4210526,2.39473684,6
5,13.9473684,37.2105263,3.44736842,6.1
5,14,38,4.5,6.2
4,45,23,-15.5,4.25
4,45.0526315789,23.7894736842,-14.4473684211,4
4,45.1052631579,24.5789473684,-13.3947368421,4
4,45.1578947368,25.3684210526,-12.3421052632,3.9
4,45.2105263158,26.1578947368,-11.2894736842,4
4,45.2631578947,26.9473684211,-10.2368421053,4.2
4,45.3157894737,27.7368421053,-9.1842105263,4.3
4,45.3684210526,28.5263157895,-8.1315789474,4.5
4,45.4210526316,29.3157894737,-7.0789473684,4.3
